"Subject","time","L_P","R_P","Event"
"Subject_1",1,3.60120874304106,3.12179461167917,"Fixation"
"Subject_1",4.33333333333333,3.64168648278846,3.15688371615849,NA
"Subject_1",7.66666666666667,3.63477062169498,3.15088853525194,NA
"Subject_1",11,3.56156300632133,3.08742674908113,NA
"Subject_1",14.3333333333333,3.56553961306729,3.0908739665012,NA
"Subject_1",17.6666666666667,3.58064686618293,3.10397005304847,NA
"Subject_1",21,3.55664544857044,3.08316384559934,NA
"Subject_1",24.3333333333333,3.64529445361751,3.16001137264743,NA
"Subject_1",27.6666666666667,3.63898251296854,3.15453971473666,NA
"Subject_1",31,3.5389010511659,3.06778168695274,NA
"Subject_1",34.3333333333333,3.53161740998058,3.06146768700767,NA
"Subject_1",37.6666666666667,3.60404501122791,3.12425329912963,NA
"Subject_1",41,3.527360059505,3.05777710011782,NA
"Subject_1",44.3333333333333,3.55624431105931,3.08281610987778,NA
"Subject_1",47.6666666666667,3.58370645600736,3.10662233224398,NA
"Subject_1",51,3.56954785735434,3.09434860968643,NA
"Subject_1",54.3333333333333,3.63930622028712,3.15482032822924,NA
"Subject_1",57.6666666666667,3.56614375486674,3.09139768138383,NA
"Subject_1",61,3.59835938053738,3.11932457310451,NA
"Subject_1",64.3333333333333,3.53718324321818,3.06629256372281,NA
"Subject_1",67.6666666666667,3.55955361110967,3.08568485640229,NA
"Subject_1",71,3.502092520062,3.03587332443807,NA
"Subject_1",74.3333333333333,3.53194466006968,3.06175137163629,NA
"Subject_1",77.6666666666667,3.5652360413312,3.09061080802369,NA
"Subject_1",81,3.60251120647461,3.12292368350447,NA
"Subject_1",84.3333333333333,3.56641264732529,3.0916307772936,NA
"Subject_1",87.6666666666667,3.52990879330582,3.05998653145428,NA
"Subject_1",91,3.54386342244583,3.07208343812248,NA
"Subject_1",94.3333333333333,3.53686829256963,3.06601954116074,NA
"Subject_1",97.6666666666667,3.51961431978074,3.05106251891466,NA
"Subject_1",101,3.53046393389678,3.06046776845808,NA
"Subject_1",104.333333333333,3.61094628406039,3.13023583385044,NA
"Subject_1",107.666666666667,3.56702122366397,3.09215833636347,NA
"Subject_1",111,3.45583829560363,2.99577673493584,NA
"Subject_1",114.333333333333,3.53664598682728,3.06582683006896,NA
"Subject_1",117.666666666667,3.56325634136456,3.08889465738384,NA
"Subject_1",121,3.57171678963756,3.09622880092164,NA
"Subject_1",124.333333333333,3.59422984814183,3.11574478839859,NA
"Subject_1",127.666666666667,3.59582197374321,3.11712496085682,NA
"Subject_1",131,3.61967535211445,3.13780283692095,NA
"Subject_1",134.333333333333,3.59483618576814,3.11627040678667,NA
"Subject_1",137.666666666667,3.53571349254204,3.06501847491856,NA
"Subject_1",141,3.61368813325545,3.13261267192175,NA
"Subject_1",144.333333333333,3.5152441408517,3.04727412396003,NA
"Subject_1",147.666666666667,3.60144648870157,3.12200070723622,NA
"Subject_1",151,3.61413679172344,3.13300160233034,NA
"Subject_1",154.333333333333,3.59367949926543,3.11526770520806,NA
"Subject_1",157.666666666667,3.63487055631111,3.15097516598302,NA
"Subject_1",161,3.6029420499958,3.12329717059696,NA
"Subject_1",164.333333333333,3.57716680763834,3.10095328040683,NA
"Subject_1",167.666666666667,3.53637009059525,3.06558766276931,NA
"Subject_1",171,3.54066335479452,3.0693093823363,NA
"Subject_1",174.333333333333,3.59927917268564,3.12012191710126,NA
"Subject_1",177.666666666667,3.63438730043081,3.15055624397354,NA
"Subject_1",181,3.62472132912443,3.14217706373324,NA
"Subject_1",184.333333333333,3.54823408258512,3.07587225022583,NA
"Subject_1",187.666666666667,3.5873003586803,3.10973779341267,NA
"Subject_1",191,3.5723131879108,3.09674580314191,NA
"Subject_1",194.333333333333,3.6036204960877,3.12388529794674,NA
"Subject_1",197.666666666667,3.56273780663319,3.08844515305187,NA
"Subject_1",201,3.54754612341989,3.07527587623911,NA
"Subject_1",204.333333333333,3.58017865695777,3.10356417459473,NA
"Subject_1",207.666666666667,3.51040405542408,3.04307837922925,NA
"Subject_1",211,3.55936520440647,3.08552153150978,NA
"Subject_1",214.333333333333,3.58658575856238,3.10911832507389,NA
"Subject_1",217.666666666667,3.52451962027726,3.05531479690002,NA
"Subject_1",221,3.59862176462352,3.11955202707476,NA
"Subject_1",224.333333333333,3.60147391330403,3.12202448091398,NA
"Subject_1",227.666666666667,3.5637633593995,3.08933417818989,NA
"Subject_1",231,3.60183533423919,3.12233778736423,NA
"Subject_1",234.333333333333,3.59058874061299,3.11258840656262,NA
"Subject_1",237.666666666667,3.61663494434099,3.13516718614875,NA
"Subject_1",241,3.60293133005853,3.12328787776093,NA
"Subject_1",244.333333333333,3.54643481758817,3.07431251398912,NA
"Subject_1",247.666666666667,3.61792355230255,3.13628424702414,NA
"Subject_1",251,3.57499814373123,3.09907332181992,NA
"Subject_1",254.333333333333,3.67604367867874,3.18666707964997,NA
"Subject_1",257.666666666667,3.5256121675741,3.05626189786185,NA
"Subject_1",261,3.59031064869819,3.11234733588243,NA
"Subject_1",264.333333333333,3.62599909423041,3.14328472521788,NA
"Subject_1",267.666666666667,3.60460554476258,3.12473921113669,NA
"Subject_1",271,3.62181595391603,3.13965846919522,NA
"Subject_1",274.333333333333,3.6327128258383,3.14910468530719,NA
"Subject_1",277.666666666667,3.58074004021612,3.10405082320525,NA
"Subject_1",281,3.65134442167869,3.16525593330522,NA
"Subject_1",284.333333333333,3.64277935245183,3.15783109657151,NA
"Subject_1",287.666666666667,3.63540594303955,3.1514392788749,NA
"Subject_1",291,3.64375275171975,3.15867491119222,NA
"Subject_1",294.333333333333,3.56938324747478,3.09420591364415,NA
"Subject_1",297.666666666667,3.62023722936495,3.13828991376049,NA
"Subject_1",301,3.57839476766433,3.10201776715727,NA
"Subject_1",304.333333333333,3.56728118112174,3.09238368675242,NA
"Subject_1",307.666666666667,3.63686359439742,3.15270287909344,NA
"Subject_1",311,3.57302662894499,3.09736426670102,NA
"Subject_1",314.333333333333,3.56709299608899,3.09222055402028,NA
"Subject_1",317.666666666667,3.65435763164675,3.16786800700418,NA
"Subject_1",321,3.65513871837647,3.16854511086515,NA
"Subject_1",324.333333333333,3.6146177300012,3.13341851527019,NA
"Subject_1",327.666666666667,3.62975787142629,3.14654311184134,NA
"Subject_1",331,3.61793972476924,3.13629826651675,NA
"Subject_1",334.333333333333,3.66509517789802,3.17717610781744,NA
"Subject_1",337.666666666667,3.62869855038742,3.1456248138622,NA
"Subject_1",341,3.56423084628442,3.08973943046559,NA
"Subject_1",344.333333333333,3.58729900272351,3.10973661796884,NA
"Subject_1",347.666666666667,3.64200076526245,3.15715615949734,NA
"Subject_1",351,3.61616381759626,3.13475877857283,NA
"Subject_1",354.333333333333,3.59401031187806,3.11555447809607,NA
"Subject_1",357.666666666667,3.68009933023917,3.19018281897295,NA
"Subject_1",361,3.64718476602269,3.1616500355248,NA
"Subject_1",364.333333333333,3.63723608366785,3.15302578039695,NA
"Subject_1",367.666666666667,3.61795213720772,3.13630902653827,NA
"Subject_1",371,3.64922327038249,3.16341716217043,NA
"Subject_1",374.333333333333,3.64637621435081,3.16094912301663,NA
"Subject_1",377.666666666667,3.61142106331991,3.13064740769686,NA
"Subject_1",381,3.62753888853832,3.14461953303284,NA
"Subject_1",384.333333333333,3.65082571022226,3.16480627577486,NA
"Subject_1",387.666666666667,3.69168329038518,3.20022465407501,NA
"Subject_1",391,3.65461072802638,3.16808740970214,NA
"Subject_1",394.333333333333,3.57448683454169,3.09863008112306,NA
"Subject_1",397.666666666667,3.67701012916564,3.18750487055234,NA
"Subject_1",401,3.62918757283774,3.14604873476191,NA
"Subject_1",404.333333333333,3.61468455658023,3.13347644550118,NA
"Subject_1",407.666666666667,3.68961754435155,3.19843391232772,NA
"Subject_1",411,3.65133420056064,3.16524707288264,NA
"Subject_1",414.333333333333,3.62020923126463,3.13826564293228,NA
"Subject_1",417.666666666667,3.64466715841577,3.15946758667987,NA
"Subject_1",421,3.65832749196475,3.17130937612053,NA
"Subject_1",424.333333333333,3.62652574630473,3.14374126626428,NA
"Subject_1",427.666666666667,3.6331597567644,3.14949211815445,NA
"Subject_1",431,3.64025587485121,3.15564355918104,NA
"Subject_1",434.333333333333,3.58453927356554,3.10734428022066,NA
"Subject_1",437.666666666667,3.63931444628082,3.15482745913018,NA
"Subject_1",441,3.68725461672246,3.19638555155037,NA
"Subject_1",444.333333333333,3.63341073806463,3.14970968734485,NA
"Subject_1",447.666666666667,3.65021426092221,3.16427622620917,NA
"Subject_1",451,3.62817000212003,3.14516662905513,NA
